Model,F1_Train,F1_Test,F1_Best_Opt,Accuracy_Train,Accuracy_Test,LogLoss_Train,LogLoss_Test
logistic_regression,0.45959727213195206,0.4629735570517353,0.47195855678226656,0.5338248048568951,0.5333333333333333,0.9989667542868238,1.007404952851518
svc,0.4489224526722445,0.46196740930275926,0.45906600773857414,0.52601908065915,0.5363636363636364,0.9994381131220881,1.0135257723213562
random_forest,0.47451801715926195,0.4229413996855857,0.465082139380141,0.5555073720728534,0.5060606060606061,0.935928709989626,1.0071869684455148
xgboost,0.48452792760742797,0.43650042398280087,0.4567595974716718,0.5585429314830876,0.503030303030303,0.9222163782363753,1.015966558546731
