Model,F1_Train,F1_Test,F1_Best_Opt,Accuracy_Train,Accuracy_Test,LogLoss_Train,LogLoss_Test
logistic_regression,0.46751649406529533,0.4665531836584467,0.49134849438471984,0.5396963123644252,0.5363636363636364,0.9895448917288779,0.9990754165324199
svc,0.47249728111241046,0.4305738233397808,0.4715893579529943,0.5531453362255966,0.5060606060606061,0.9532164431569954,1.0177048477118908
random_forest,0.8413829887412879,0.43246026700572154,0.4815628161698055,0.8451193058568329,0.49393939393939396,0.6064006096172778,1.0208127198510477
xgboost,0.4642131393438977,0.4365762036745867,0.49875060779040203,0.5436008676789588,0.5121212121212121,0.9921828723264102,1.0259421996998064
