Model,F1_Train,F1_Test,F1_Best_Opt,Accuracy_Train,Accuracy_Test,LogLoss_Train,LogLoss_Test
logistic_regression,0.46351960685376953,0.4691050177892283,0.4797139580381839,0.5370932754880694,0.5393939393939394,0.9871751800143957,0.9965962481672435
svc,0.46518128038997747,0.45932323802328423,0.46541122608195784,0.540997830802603,0.5303030303030303,0.9932714634170734,1.0085611966268229
random_forest,0.5799274896844823,0.4413449120371064,0.4870166309560249,0.6281995661605206,0.509090909090909,0.8207436624957274,1.010127186421145
xgboost,0.46520553159336325,0.43056981233489994,0.49510764700403936,0.5414316702819957,0.5060606060606061,1.0007698425372613,1.0280134508104035
