Model,F1_Train,F1_Test,F1_Best_Opt,Accuracy_Train,Accuracy_Test,LogLoss_Train,LogLoss_Test
logistic_regression,0.46254359137785717,0.45112839094030327,0.482804456633083,0.5357917570498916,0.5212121212121212,0.99189158303951,1.00132175828742
svc,0.45596946184553944,0.45380333951762525,0.46814434793517484,0.5323210412147505,0.5272727272727272,0.996178956463431,1.0110838138650038
random_forest,0.8212345829658849,0.42395444317051934,0.4856128498590735,0.8264642082429501,0.4909090909090909,0.6248300057616683,1.017332330904142
xgboost,0.5322025973396943,0.4216328359935231,0.4929035547914714,0.5926247288503254,0.4909090909090909,0.9410293256641727,1.020247847925533
