Model,F1_Train,F1_Test,F1_Best_Opt,Accuracy_Train,Accuracy_Test,LogLoss_Train,LogLoss_Test
logistic_regression,0.4642666349628354,0.4563869048994907,0.49048422070316267,0.5379609544468547,0.5242424242424243,0.9860170183063686,0.9956299805907578
svc,0.5523617555917044,0.4550701544773251,0.4713051261886913,0.6026030368763557,0.5181818181818182,0.9230135676657252,1.0213098605629638
random_forest,0.8607817997189362,0.45890458611078494,0.5017082918240253,0.8629067245119306,0.5,0.5461127084781309,1.081198518330847
xgboost,0.5115389162904097,0.4317738588175606,0.504970196621316,0.5783080260303688,0.5,1.0035908707051888,1.043205403920376
